Close,High,Low,Open,Volume,Daily_Range,MA_20,MA_50,MA_200,Volatility_20D,Volume_MA_20,RSI_14,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Middle,Daily_Return_Pct
-0.5873953603955289,-0.5878552697594004,-0.5869255784796013,-0.5872975767648999,-1.3338233020497636,-0.5430048210608519,-0.5865657955380053,-0.5856109040874049,-0.5856765270361531,-0.3664603590749021,-0.8393652234630007,-0.19886218755625473,-0.13031200603853146,-0.14100659072128857,-0.588093735377812,-0.5843853271801992,-0.5865657955380053,-0.2863
-0.5873979126979592,-0.5878510527211038,-0.5869255784796013,-0.5873001290726337,-1.4243380484321477,-0.5428061657176088,-0.586566649839349,-0.5856057380753691,-0.5856747057446742,-0.3773828635637948,-0.9113318760051926,-0.16365994129020814,-0.13031200603853146,-0.14105365811397944,-0.5880978079156952,-0.5843835323358942,-0.586566649839349,-0.2871
-0.5874336449319847,-0.5878510527211038,-0.5869616529395814,-0.5873026813803676,-0.3861732616637576,-0.5411374608343672,-0.5865692127433809,-0.5856014330653393,-0.5856728844531951,-0.1550171589691661,-0.9105637590240363,-0.6367287244444538,-0.13048892272559456,-0.1411477928993612,-0.588100251438425,-0.5843844297580468,-0.5865692127433809,-4.0307
-0.5874251372572167,-0.5878822588044986,-0.5869711010124332,-0.5873384136886417,-0.8316632308153186,-0.5421704686192311,-0.5865700670447248,-0.5855971280553094,-0.585671063161716,-0.18654816249370562,-0.94111118050541,-0.41007566515253696,-0.13062161024089192,-0.14124192768474297,-0.5881010659460016,-0.5843862246023518,-0.5865700670447248,1.0
-0.587415778814972,-0.5878645472436529,-0.5869530637824433,-0.5873299059961954,-0.8875462481470514,-0.5421704686192311,-0.5865709213460686,-0.5855928230452797,-0.5856692418702371,-0.1696491932844753,-0.9522193337713641,-0.36499208660128396,-0.1306658394126577,-0.14128899507743384,-0.5881026949611549,-0.5843862246023518,-0.5865709213460686,1.0891
-0.5874251372572167,-0.5878687642819496,-0.5869573583610124,-0.5873205475345047,-1.1803417755752859,-0.5421704686192311,-0.5865717756474126,-0.5855893790372558,-0.585667420578758,-0.16130275117503837,-0.998424524484003,-0.6311704750340251,-0.13075429775618927,-0.1413831298628156,-0.5881035094687316,-0.5843871220245043,-0.5865717756474126,-1.0774
-0.5873749419760858,-0.5878291241219615,-0.5869573583610124,-0.5873299059961954,-0.200421260392082,-0.5403031083927463,-0.5865700670447248,-0.58558421302522,-0.5856655992872791,0.2938359500272207,-0.9861346527855006,0.6336400574723653,-0.1306658394126577,-0.14143019725550648,-0.5880986224232717,-0.5843898142909618,-0.5865700670447248,5.8416
-0.5873613296964569,-0.587819846637709,-0.5869075412496113,-0.5872797106107629,-0.4318241772305253,-0.5421704686192311,-0.5865683584420369,-0.5855790470131842,-0.5856628673500607,0.3092923243039559,-1.124572967158535,1.2530760751012278,-0.13048892272559456,-0.14143019725550648,-0.5880904773475054,-0.5843943014017243,-0.5865683584420369,1.4967
-0.5873119851828028,-0.5877751460317651,-0.5868886451039075,-0.5872660983028489,0.14117352160752483,-0.5409388054911242,-0.5865632326339735,-0.5855730199991426,-0.585660135412842,0.5731841544554129,-1.045929605472445,1.5217247966052714,-0.1301793185232341,-0.1413831298628156,-0.5880676711353596,-0.5844086601561644,-0.5865632326339735,5.3456
-0.5872805067861614,-0.587735505871777,-0.5868345334139374,-0.587212499840438,0.15455396237709468,-0.5415745025895019,-0.5865563982232223,-0.5855669929851008,-0.5856574034756236,0.632227504192541,-0.9528101929876382,1.634742534617317,-0.12982548514910786,-0.14124192768474297,-0.5880407923853307,-0.584423916332757,-0.5865563982232223,3.2371
-0.587240520714752,-0.5876992393424263,-0.5868122016053784,-0.5871852752246103,0.21515948821573458,-0.5408990744224755,-0.5865478552097834,-0.585560965971059,-0.5856546715384051,0.738876486702013,-0.8787164472668594,1.7718460200745527,-0.12942742260321585,-0.14105365811397944,-0.5880073975746887,-0.5844427621979598,-0.5865478552097834,3.9831
-0.5871724593166082,-0.5876283930990436,-0.5867752682296846,-0.5871452890701132,1.9706222113331375,-0.5392701006078825,-0.5865367492923126,-0.5855523559509994,-0.5856510289554471,1.0359480003008614,-0.6383549180865334,1.9237715039595973,-0.12880821419849492,-0.14077125375783417,-0.5879609706428204,-0.5844696848625349,-0.5865367492923126,6.52
-0.5872039377132497,-0.5876461046598893,-0.5867477829268427,-0.5870865859922344,0.5599026092199461,-0.5413758472462589,-0.586524789073498,-0.5855446069329457,-0.5856482970182285,0.9735042482228516,-0.5336546649627533,1.4420565550557962,-0.1285428391679002,-0.14048884940168885,-0.5879332773852148,-0.5844759668176025,-0.586524789073498,-2.8309
-0.5872039377132497,-0.5876638162207349,-0.5867529364211256,-0.5871087059925946,0.37257643844596816,-0.541971813275988,-0.5865119745533394,-0.5855368579148921,-0.5856446544352705,0.8309964773913541,-0.4953079018265607,1.4050015589862734,-0.1283216933090713,-0.14020644504554358,-0.5879112856806455,-0.5844741719732974,-0.5865119745533394,0.0
-0.5871460855248276,-0.5875836924930996,-0.5867297456968528,-0.5871087059925946,1.6720533625965461,-0.5392701006078825,-0.5864974514304931,-0.5855282478948324,-0.5856410118523125,0.9787594154769411,-0.41382841590235486,1.6378304509564436,-0.12796785993494506,-0.1399240406893983,-0.5878795198851567,-0.5844777616619073,-0.5864974514304931,5.3543
